timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
1,250,21,201,290.8
1,250,22,201,319.2
1,250,23,201,204.4
1,250,24,201,348.6
1,250,25,201,295.4
1,250,26,201,293.8
1,250,27,201,270.3
1,250,28,201,266.4
1,250,29,201,246.1
1,250,30,201,264.0
1,500,1,201,494.7
1,500,2,201,556.4
1,500,3,201,804.9
1,500,4,201,594.4
1,500,5,201,561.2
1,500,6,201,423.1
1,500,7,201,369.5
1,500,8,201,505.6
1,500,9,201,467.9
1,500,10,201,586.9
1,500,11,201,344.9
1,500,12,201,417.2
1,500,13,201,395.6
1,500,14,201,485.9
1,500,15,201,280.1
1,500,16,201,374.0
1,500,17,201,439.8
1,500,18,201,511.8
1,500,19,201,461.9
1,500,20,201,606.4
1,500,21,201,637.0
1,500,22,201,550.1
1,500,23,201,506.6
1,500,24,201,551.1
1,500,25,201,409.9
1,500,26,201,419.0
1,500,27,201,275.7
1,500,28,201,419.2
1,500,29,201,510.1
1,500,30,201,430.4
1,1000,1,201,987.0
1,1000,2,201,766.6
1,1000,3,201,810.7
1,1000,4,201,957.4
1,1000,5,201,782.6
1,1000,6,503,1008.5
1,1000,7,201,944.9
1,1000,8,201,710.7
1,1000,9,503,1007.6
1,1000,10,201,755.9
1,1000,11,201,888.4
1,1000,12,503,1008.4
1,1000,13,503,1008.0
1,1000,14,201,942.7
1,1000,15,201,777.3
1,1000,16,503,1007.6
1,1000,17,201,602.7
1,1000,18,201,1005.3
1,1000,19,201,790.2
1,1000,20,201,869.2
1,1000,21,503,1007.0
1,1000,22,503,1008.7
1,1000,23,503,1008.2
1,1000,24,201,773.9
1,1000,25,201,662.0
1,1000,26,201,890.4
1,1000,27,201,705.5
1,1000,28,503,1008.3
1,1000,29,201,772.0
1,1000,30,201,975.5
1,2000,1,201,850.6
1,2000,2,503,1007.9
1,2000,3,503,1008.5
1,2000,4,503,1008.5
1,2000,5,503,1008.6
1,2000,6,503,1009.2
1,2000,7,201,1005.5
1,2000,8,503,1007.3
1,2000,9,503,1008.2
1,2000,10,503,1007.3
1,2000,11,503,1007.8
1,2000,12,503,1008.5
1,2000,13,503,1008.1
1,2000,14,503,1007.9
1,2000,15,503,1009.2
1,2000,16,503,1008.3
1,2000,17,503,1008.5
1,2000,18,503,1007.9
1,2000,19,503,1007.8
1,2000,20,503,1009.2
1,2000,21,503,1007.5
1,2000,22,503,1007.4
1,2000,23,503,1007.8
1,2000,24,503,1008.4
1,2000,25,503,1007.2
1,2000,26,503,1007.6
1,2000,27,503,1008.8
1,2000,28,503,1007.5
1,2000,29,503,1008.1
1,2000,30,503,1010.9
2,0,1,201,59.0
2,0,2,201,55.1
2,0,3,201,56.3
2,0,4,201,55.4
2,0,5,201,56.9
2,0,6,201,56.1
2,0,7,201,55.0
2,0,8,201,56.5
2,0,9,201,55.3
2,0,10,201,58.5
2,0,11,201,58.5
2,0,12,201,56.1
2,0,13,201,55.8
2,0,14,201,55.0
2,0,15,201,56.8
2,0,16,201,55.3
2,0,17,201,55.3
2,0,18,201,56.8
2,0,19,201,55.6
2,0,20,201,56.4
2,0,21,201,56.1
2,0,22,201,56.8
2,0,23,201,55.4
2,0,24,201,63.4
2,0,25,201,62.7
2,0,26,201,57.9
2,0,27,201,56.0
2,0,28,201,59.2
2,0,29,201,57.4
2,0,30,201,56.4
2,250,1,201,219.5
2,250,2,201,299.7
2,250,3,201,287.8
2,250,4,201,241.3
2,250,5,201,325.1
2,250,6,201,278.2
2,250,7,201,343.7
2,250,8,201,317.4
2,250,9,201,263.4
2,250,10,201,237.4
2,250,11,201,375.8
2,250,12,201,301.6
2,250,13,201,197.6
2,250,14,201,255.5
2,250,15,201,221.3
2,250,16,201,235.3
2,250,17,201,238.1
2,250,18,201,221.1
2,250,19,201,365.2
2,250,20,201,369.6
2,250,21,201,200.5
2,250,22,201,257.7
2,250,23,201,173.8
2,250,24,201,183.1
2,250,25,201,338.2
2,250,26,201,334.8
2,250,27,201,280.4
2,250,28,201,312.2
2,250,29,201,424.9
2,250,30,201,365.6
2,500,1,201,642.6
2,500,2,201,433.5
2,500,3,201,689.9
2,500,4,201,445.6
2,500,5,201,455.4
2,500,6,201,492.7
2,500,7,201,640.7
2,500,8,201,667.6
2,500,9,201,518.6
2,500,10,201,551.2
2,500,11,201,546.8
2,500,12,201,550.5
2,500,13,201,729.4
2,500,14,201,685.5
2,500,15,201,831.0
2,500,16,201,590.8
2,500,17,201,643.0
2,500,18,201,445.1
2,500,19,201,260.2
2,500,20,201,528.4
2,500,21,201,690.1
2,500,22,201,735.0
2,500,23,201,426.7
2,500,24,201,409.2
2,500,25,201,210.5
2,500,26,201,677.0
2,500,27,201,580.3
