timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
1,250,21,201,159.1
1,250,22,201,371.9
1,250,23,201,336.3
1,250,24,201,437.1
1,250,25,201,283.4
1,250,26,201,314.9
1,250,27,201,443.5
1,250,28,201,227.5
1,250,29,201,341.3
1,250,30,201,263.9
1,500,1,201,736.4
1,500,2,201,401.7
1,500,3,201,441.2
1,500,4,201,486.3
1,500,5,201,400.6
1,500,6,201,454.8
1,500,7,201,746.7
1,500,8,201,700.0
1,500,9,201,518.2
1,500,10,201,435.0
1,500,11,201,497.6
1,500,12,201,148.7
1,500,13,201,435.0
1,500,14,201,594.1
1,500,15,201,648.2
1,500,16,201,647.9
1,500,17,201,521.6
1,500,18,201,315.0
1,500,19,201,440.3
1,500,20,201,492.2
1,500,21,201,746.2
1,500,22,201,456.9
1,500,23,201,468.3
1,500,24,201,477.8
1,500,25,201,870.6
1,500,26,201,610.2
1,500,27,201,423.1
1,500,28,201,860.5
1,500,29,201,398.2
1,500,30,201,415.8
1,1000,1,201,600.9
1,1000,2,503,1009.2
1,1000,3,503,1007.8
1,1000,4,503,1008.2
1,1000,5,503,1007.9
1,1000,6,201,870.2
1,1000,7,201,816.6
1,1000,8,503,1008.2
1,1000,9,503,1009.2
1,1000,10,201,693.2
1,1000,11,503,1007.9
1,1000,12,201,911.1
1,1000,13,503,989.2
1,1000,14,503,1007.5
1,1000,15,201,768.2
1,1000,16,201,615.5
1,1000,17,503,1008.2
1,1000,18,503,1009.4
1,1000,19,201,728.7
1,1000,20,201,538.3
1,1000,21,201,655.7
1,1000,22,201,952.1
1,1000,23,503,1007.6
1,1000,24,503,1007.7
1,1000,25,503,1010.0
1,1000,26,201,741.9
1,1000,27,503,1008.8
1,1000,28,503,1001.6
1,1000,29,503,1007.6
1,1000,30,201,664.0
1,2000,1,503,1008.9
1,2000,2,503,1007.6
1,2000,3,503,1008.2
1,2000,4,503,1009.3
1,2000,5,503,1007.9
1,2000,6,503,1008.0
1,2000,7,503,1008.0
1,2000,8,503,1008.2
1,2000,9,503,1009.9
1,2000,10,503,1006.7
1,2000,11,503,1007.3
1,2000,12,503,1006.9
1,2000,13,503,1008.5
1,2000,14,503,1008.1
1,2000,15,503,1007.4
1,2000,16,503,1007.1
1,2000,17,503,1008.1
1,2000,18,503,1008.3
1,2000,19,503,1007.4
1,2000,20,503,1008.6
1,2000,21,503,1007.8
1,2000,22,503,1008.1
1,2000,23,503,1008.5
1,2000,24,503,1009.4
1,2000,25,503,1007.6
1,2000,26,503,1008.0
1,2000,27,503,1008.0
1,2000,28,503,1007.9
1,2000,29,503,1008.0
1,2000,30,503,1007.6
2,0,1,201,60.7
2,0,2,201,61.2
2,0,3,201,58.5
2,0,4,201,57.4
2,0,5,201,55.6
2,0,6,201,59.4
2,0,7,201,60.2
2,0,8,201,55.9
2,0,9,201,56.4
2,0,10,201,57.5
2,0,11,201,58.6
2,0,12,201,55.4
2,0,13,201,56.8
2,0,14,201,55.9
2,0,15,201,55.6
2,0,16,201,55.8
2,0,17,201,58.0
2,0,18,201,58.3
2,0,19,201,55.8
2,0,20,201,55.9
2,0,21,201,56.4
2,0,22,201,55.0
2,0,23,201,57.1
2,0,24,201,55.0
2,0,25,201,57.1
2,0,26,201,55.3
2,0,27,201,56.9
2,0,28,201,55.3
2,0,29,201,55.9
2,0,30,201,59.6
2,250,1,201,289.9
2,250,2,201,249.4
2,250,3,201,330.2
2,250,4,201,274.3
2,250,5,201,354.2
2,250,6,201,291.0
2,250,7,201,277.5
2,250,8,201,107.5
2,250,9,201,237.0
2,250,10,201,161.3
2,250,11,201,393.6
2,250,12,201,208.8
2,250,13,201,202.0
2,250,14,201,274.0
2,250,15,201,289.4
2,250,16,201,338.8
2,250,17,201,281.6
2,250,18,201,272.2
2,250,19,201,160.4
2,250,20,201,174.0
2,250,21,201,420.6
2,250,22,201,320.9
2,250,23,201,245.4
2,250,24,201,178.1
2,250,25,201,109.4
2,250,26,201,226.7
2,250,27,201,252.6
2,250,28,201,314.8
2,250,29,201,271.0
2,250,30,201,154.8
2,500,1,201,537.9
2,500,2,201,467.8
2,500,3,201,320.6
2,500,4,201,658.6
2,500,5,201,648.0
2,500,6,201,788.3
2,500,7,201,615.2
2,500,8,201,531.5
2,500,9,201,615.2
